Rent,Address,Zip,num_bedrooms,num_bathrooms,num_sqft
"$3,300",85 Wood Street,M4Y,3,2,810
"$2,295",300 Balliol Street,M4S,1,1,600
"$2,300",8 Fieldway Road,M8Z,1,1,
"$1,950",160 Flemington Road,M6A,2,2,630
"$2,045",117 Gerrard Street East,M5B,1,1,
"$2,050",83 Redpath Avenue,M4S,1,1,562
"$1,900",150 Sudbury Street,M6J,1,1,
"$2,850",25 Telegram Mews,M5V,2,2,933
"$3,250",38 Grenville Street,M4Y,2,2,
"$2,150",25 Carlton Street,M5B,1,1,
"$2,350",633 Bay Street,M5G,1,1 ½,833
"$2,250",88 Harbour Street,M5J,1,1,581
"$1,950",66 Portland Street,M5V,1,1,570
"$2,080",35 Balmuto Street,,1,1,610
"$1,800",30 Ordnance Street,M6K,1,1,496
"$2,700",30 Ordnance Street,M6K,2,2,801
"$2,250",8 The Esplanade,M5E,1,1,638
"$1,900",155 Yorkville Avenue,M5R,1,1,430
"$2,500",80 John Street,M5V,1,1,
"$1,980",386 Yonge Street,M5G,1,1,518
"$2,300",383 Sorauren Avenue,M6R,1,1,
"$3,600",35 Mariner Terrace,M5V,2,2,
"$2,300",2908 Highway 7,L4K,2,2,800899
"$2,300",38 Lee Centre Drive,M1H,2,2,950
"$2,300",38 Lee Centre Drive,M1H,2,2,750
"$2,400",151 Village Green Square,M1S,2,2,900
"$2,200",181 Village Green Square,M1S,2,2,850
"$2,000",88 Grangeway Avenue,M1H,1,1,650
"$1,750",25 Town Centre Court,M1P,1,1,550
"$2,150",1883 McNicoll Avenue,M1V,2,2,900
"$1,999",1950 Kennedy Road,M1P,2,1,700
"$2,000",50 Town Centre Court,M1P,1,1,650
"$2,050",70 Town Centre Court,M1P,1,1,650
"$2,900",70 Town Centre Court,M1P,3,2,950
"$2,050",70 Town Centre Court,M1P,1,1,700
"$2,450",38 Lee Centre Drive,M1H,2,2,850
"$2,000",50 Town Centre Court,M1P,1,1,650
"$2,900",330 Village Green Square,M1S,4,3,1500
"$2,500",11 Lee Centre Drive,M1H,2,2,850
"$2,350",68 Corporate Drive,M1H,2,2,900
"$1,800",38 Lee Centre Drive,M1H,1,1,500
"$2,350",60 Town Centre Court,M1P,2,2,900
"$1,900",50 Town Centre Court,M1P,1,0 ½,699
"$1,850",68 Grangeway Avenue,M1H,1,1,612
"$2,300",68 Corporate Drive,M1H,2,2,850
"$2,100",60 Town Centre Court,M1P,1,1,500
"$2,800",60 Brian Harrison Way,M1P,3,2,900
"$2,880",70 Town Centre Court,M1P,3,2,950
"$1,700",125 Village Green Square,M1S,1,1,570
"$2,500",68 Corporate Drive,M1H,2,2,950
"$2,250",151 Village Green Square,M1S,2,2,850
"$2,220",75 Bamburgh Circle,M1W,2,2,1100
"$1,950",60 Town Centre Court,M1P,1,1,650
"$1,825",60 Town Centre Court,M1P,1,1,600
"$1,800",181 Village Green Square,M1S,1,1,550
"$2,250",3050 Ellesmere Road,M1E,2,2,932
"$1,950",11 Lee Centre Drive,M1H,1,1,650
"$1,795",160 Alton Towers Circle,M1V,1,1,725
"$2,500",55 Bamburgh Circle,M1W,3,2,1400
"$1,950",50 Town Centre Court,M1P,1,1,650
"$2,250",18 Lee Centre Drive,M1H,2,1,850
"$2,300",38 Lee Centre Drive,M1H,2,2,750
"$1,880",70 Town Centre Court,M1P,1,1,450
"$2,000",50 Town Centre Court,M1P,1,1,650
"$2,200",60 Town Centre Court,M1P,2,1,700
"$2,200",25 Bamburgh Circle,M1W,2,2,1100
"$2,500",70 Town Centre Court,M1P,2,2,800
"$2,300",18 Lee Centre Drive,M1H,2,2,850
"$1,950",11 Lee Centre Drive,M1H,1,1,650
"$2,450",88 Corporate Drive,M1H,2,2,1100
"$1,800",18 Lee Centre Drive,M1H,1,1,650
"$1,875",151 Village Green Square,M1S,1,1,650
"$2,000",50 Town Centre Court,M1P,1,1,650
"$2,100",50 Town Centre Court,M1P,1,1,600
"$2,800",190 Borough Drive,M1P,2,2,1200
"$1,780",70 Town Centre Court,M1P,1,1,450
"$1,875",38 Lee Centre Drive,M1H,1,1,650
