postal_code,cluster_labels,geocode_lat,geocode_lng,address,num_sqft,rent,num_bathrooms,price_per_sqft,metro_station,train_station,bus_station,bus_stop,shopping_mall,shopping_plaza,grocery_store
M1H,2,43.7816245,-79.24737616826923,"36 Lee Centre Drive, Toronto",750.0,1925.0,1.0,2.566666666666667,5609,4931,3924,2912,17655,8666,3345
M1H,2,43.78166,-79.24754705620077,"38 Lee Centre Drive, Toronto",650.0,1950.0,1.0,3.0,5610,4944,3921,2916,17644,8651,3335
M1H,2,43.78166145,-79.24527112499999,"11 Lee Centre Drive, Toronto",650.0,1950.0,1.0,3.0,5655,4799,4011,2915,17815,8816,3493
M1H,2,43.7808322,-79.2473457,"8 Lee Centre Drive, Toronto",650.0,1850.0,1.0,2.8461538461538463,5524,4876,3848,2823,17627,8707,3303
M1H,2,43.7738693,-79.2499881,"88 Grangeway Avenue, Toronto",650.0,2000.0,1.0,3.076923076923077,4721,4652,3074,2070,17170,8896,2796
M1H,2,43.78166,-79.24754705620077,"38 Lee Centre Drive, Toronto",500.0,1750.0,1.0,3.5,5610,4944,3921,2916,17644,8651,3335
M1H,2,43.7816245,-79.24737616826923,"36 Lee Centre Drive, Toronto",500.0,1800.0,1.0,3.6,5609,4931,3924,2912,17655,8666,3345
M1H,2,43.7809625,-79.2458417,"1 Lee Centre Drive, Toronto",650.0,2100.0,1.0,3.230769230769231,5568,4788,3921,2836,17745,8809,3415
M1H,2,43.7808555,-79.24852123174156,"18 Lee Centre Drive, Toronto",650.0,1850.0,1.0,2.8461538461538463,5505,4954,3805,2831,17539,8621,3222
M1H,2,43.7803,-79.25089979185557,"68 Corporate Drive, Toronto",650.0,1950.0,1.0,3.0,5406,5077,3664,2789,17338,8479,3026
M1H,2,43.7803,-79.25089979185557,"68 Corporate Drive, Toronto",650.0,1900.0,1.0,2.923076923076923,5406,5077,3664,2789,17338,8479,3026
M1H,2,43.7809625,-79.2458417,"1 Lee Centre Drive, Toronto",650.0,2100.0,1.0,3.230769230769231,5568,4788,3921,2836,17745,8809,3415
M1H,2,43.7816245,-79.24737616826923,"36 Lee Centre Drive, Toronto",500.0,1800.0,1.0,3.6,5609,4931,3924,2912,17655,8666,3345
M1H,2,43.7809625,-79.2458417,"1 Lee Centre Drive, Toronto",650.0,1900.0,1.0,2.923076923076923,5568,4788,3921,2836,17745,8809,3415
M1H,2,43.7816245,-79.24737616826923,"36 Lee Centre Drive, Toronto",500.0,1800.0,1.0,3.6,5609,4931,3924,2912,17655,8666,3345
M1H,2,43.78166,-79.24754705620077,"38 Lee Centre Drive, Toronto",650.0,1875.0,1.0,2.8846153846153846,5610,4944,3921,2916,17644,8651,3335
M1H,2,43.7808555,-79.24852123174156,"18 Lee Centre Drive, Toronto",650.0,1800.0,1.0,2.769230769230769,5505,4954,3805,2831,17539,8621,3222
M1H,2,43.78166145,-79.24527112499999,"11 Lee Centre Drive, Toronto",650.0,1950.0,1.0,3.0,5655,4799,4011,2915,17815,8816,3493
M1H,2,43.78166145,-79.24527112499999,"11 Lee Centre Drive, Toronto",650.0,1950.0,1.0,3.0,5655,4799,4011,2915,17815,8816,3493
M1H,2,43.773666500000004,-79.24958885236221,"68 Grangeway Avenue, Toronto",612.0,1850.0,1.0,3.022875816993464,4706,4613,3072,2043,17193,8935,2820
M1H,2,43.78166,-79.24754705620077,"38 Lee Centre Drive, Toronto",500.0,1800.0,1.0,3.6,5610,4944,3921,2916,17644,8651,3335
M1H,2,43.7738693,-79.2499881,"88 Grangeway Avenue, Toronto",650.0,2000.0,1.0,3.076923076923077,4721,4652,3074,2070,17170,8896,2796
M1N,3,43.68077435638832,-79.2832061692732,"1093 Kingston Road, Toronto",735.0,2050.0,1.0,2.7891156462585034,8790,9015,2474,2172,8374,15790,8049
M1P,2,43.773396,-79.25603146428571,"60 Town Centre Court, Toronto",650.0,1900.0,1.0,2.923076923076923,4582,5068,2793,2147,16692,8514,2319
M1P,1,43.769474,-79.28339876923076,"2 Glamorgan Avenue, Toronto",899.0,1700.0,1.0,1.8909899888765296,5056,16076,2333,1669,14471,7097,360
M1P,2,43.7726205,-79.26170526923077,"83 Borough Drive, Toronto",650.0,1945.0,1.0,2.9923076923076923,4459,5457,2550,2283,16233,8188,1862
M1P,2,43.773692,-79.25557777196317,"70 Town Centre Court, Toronto",600.0,1950.0,1.0,3.25,4619,5048,2838,2165,16737,8526,2365
M1P,2,43.77336,-79.25455952882635,"25 Town Centre Court, Toronto",550.0,1750.0,1.0,3.1818181818181817,4595,4959,2841,2102,16803,8615,2429
M1P,2,43.773692,-79.25557777196317,"70 Town Centre Court, Toronto",500.0,1825.0,1.0,3.65,4619,5048,2838,2165,16737,8526,2365
M1P,2,43.773255500000005,-79.25526814999999,"50 Town Centre Court, Toronto",650.0,1999.0,1.0,3.0753846153846154,4575,5006,2805,2111,16745,8574,2371
M1P,1,43.764392,-79.2878959,"8 Mondeo Drive, Toronto",650.0,1980.0,1.0,3.046153846153846,4814,15406,2064,1095,13946,7285,435
M1P,2,43.773255500000005,-79.25526814999999,"50 Town Centre Court, Toronto",650.0,2000.0,1.0,3.076923076923077,4575,5006,2805,2111,16745,8574,2371
M1P,2,43.773692,-79.25557777196317,"70 Town Centre Court, Toronto",650.0,2100.0,1.0,3.230769230769231,4619,5048,2838,2165,16737,8526,2365
M1P,1,43.76483455,-79.28809319999999,"18 Mondeo Drive, Toronto",600.0,1750.0,1.0,2.9166666666666665,4786,15441,2111,1097,13946,7237,428
M1P,2,43.773255500000005,-79.25526814999999,"50 Town Centre Court, Toronto",650.0,1900.0,1.0,2.923076923076923,4575,5006,2805,2111,16745,8574,2371
M1P,2,43.773692,-79.25557777196317,"70 Town Centre Court, Toronto",600.0,2000.0,1.0,3.3333333333333335,4619,5048,2838,2165,16737,8526,2365
M1P,2,43.773692,-79.25557777196317,"70 Town Centre Court, Toronto",800.0,2000.0,1.0,2.5,4619,5048,2838,2165,16737,8526,2365
M1P,2,43.773396,-79.25603146428571,"60 Town Centre Court, Toronto",650.0,2000.0,1.0,3.076923076923077,4582,5068,2793,2147,16692,8514,2319
M1P,2,43.773396,-79.25603146428571,"60 Town Centre Court, Toronto",500.0,1900.0,1.0,3.8,4582,5068,2793,2147,16692,8514,2319
M1P,2,43.773692,-79.25557777196317,"70 Town Centre Court, Toronto",450.0,1780.0,1.0,3.9555555555555557,4619,5048,2838,2165,16737,8526,2365
M1P,2,43.773255500000005,-79.25526814999999,"50 Town Centre Court, Toronto",600.0,2100.0,1.0,3.5,4575,5006,2805,2111,16745,8574,2371
M1P,2,43.773255500000005,-79.25526814999999,"50 Town Centre Court, Toronto",650.0,2000.0,1.0,3.076923076923077,4575,5006,2805,2111,16745,8574,2371
M1P,2,43.773255500000005,-79.25526814999999,"50 Town Centre Court, Toronto",650.0,2000.0,1.0,3.076923076923077,4575,5006,2805,2111,16745,8574,2371
M1P,2,43.773692,-79.25557777196317,"70 Town Centre Court, Toronto",450.0,1880.0,1.0,4.177777777777778,4619,5048,2838,2165,16737,8526,2365
M1P,2,43.773255500000005,-79.25526814999999,"50 Town Centre Court, Toronto",650.0,1950.0,1.0,3.0,4575,5006,2805,2111,16745,8574,2371
M1P,2,43.773396,-79.25603146428571,"60 Town Centre Court, Toronto",600.0,1825.0,1.0,3.0416666666666665,4582,5068,2793,2147,16692,8514,2319
M1P,2,43.773396,-79.25603146428571,"60 Town Centre Court, Toronto",650.0,1950.0,1.0,3.0,4582,5068,2793,2147,16692,8514,2319
M1P,2,43.773396,-79.25603146428571,"60 Town Centre Court, Toronto",500.0,2100.0,1.0,4.2,4582,5068,2793,2147,16692,8514,2319
M1P,2,43.773255500000005,-79.25526814999999,"50 Town Centre Court, Toronto",699.0,1900.0,0.5,2.7181688125894135,4575,5006,2805,2111,16745,8574,2371
M1P,2,43.773255500000005,-79.25526814999999,"50 Town Centre Court, Toronto",650.0,2000.0,1.0,3.076923076923077,4575,5006,2805,2111,16745,8574,2371
M1P,2,43.773692,-79.25557777196317,"70 Town Centre Court, Toronto",700.0,2050.0,1.0,2.9285714285714284,4619,5048,2838,2165,16737,8526,2365
M1P,2,43.773692,-79.25557777196317,"70 Town Centre Court, Toronto",650.0,2050.0,1.0,3.1538461538461537,4619,5048,2838,2165,16737,8526,2365
M1P,2,43.773255500000005,-79.25526814999999,"50 Town Centre Court, Toronto",650.0,2000.0,1.0,3.076923076923077,4575,5006,2805,2111,16745,8574,2371
M1P,2,43.77336,-79.25455952882635,"25 Town Centre Court, Toronto",550.0,1750.0,1.0,3.1818181818181817,4595,4959,2841,2102,16803,8615,2429
M1S,1,43.7781607,-79.2815201,"255 Village Green Square, Toronto",500.0,1900.0,1.0,3.8,5166,16993,3185,2432,14964,6549,1332
M1S,1,43.7781607,-79.2815201,"255 Village Green Square, Toronto",500.0,1900.0,1.0,3.8,5166,16993,3185,2432,14964,6549,1332
M1S,1,43.778555,-79.28128749999999,"151 Village Green Square, Toronto",700.0,1850.0,1.0,2.642857142857143,5187,17040,3222,2477,14998,6535,1378
M1S,1,43.7778723,-79.2807506,"135 Village Green Square, Toronto",550.0,1750.0,1.0,3.1818181818181817,5226,16995,3138,2447,15008,6617,1308
M1S,1,43.7778723,-79.2807506,"135 Village Green Square, Toronto",550.0,1750.0,1.0,3.1818181818181817,5226,16995,3138,2447,15008,6617,1308
M1S,1,43.7778723,-79.2807506,"135 Village Green Square, Toronto",650.0,1900.0,1.0,2.923076923076923,5226,16995,3138,2447,15008,6617,1308
M1S,1,43.7781607,-79.2815201,"255 Village Green Square, Toronto",700.0,2100.0,2.0,3.0,5166,16993,3185,2432,14964,6549,1332
M1S,1,43.778555,-79.28128749999999,"151 Village Green Square, Toronto",650.0,1875.0,1.0,2.8846153846153846,5187,17040,3222,2477,14998,6535,1378
M1S,1,43.7792065,-79.2815769643811,"181 Village Green Square, Toronto",550.0,1800.0,1.0,3.272727272727273,5169,17093,3298,2519,15006,6472,1448
M1S,1,43.7774165,-79.2812115,"125 Village Green Square, Toronto",570.0,1700.0,1.0,2.982456140350877,5187,16932,3098,2385,14955,6621,1253
M1T,2,43.786058971645275,-79.29160220329804,"185 Bonis Avenue, Toronto",649.0,1950.0,1.0,3.00462249614792,4498,585,4286,2848,14605,5367,2308
M1V,2,43.826271000000006,-79.27495042114695,"160 Alton Towers Circle, Toronto",725.0,1795.0,1.0,2.475862068965517,7999,2846,8426,5203,18168,5709,3412
M2J,1,43.7756649,-79.3375252,"2015 Sheppard Avenue East, Toronto",500.0,1730.0,1.0,3.46,657,15071,2442,1736,10818,4473,4496
M2J,1,43.7723652,-79.3445747,"66 Forest Manor Road, Toronto",539.0,2000.0,1.0,3.7105751391465676,383,14584,1771,1202,10143,4806,4985
M2J,1,43.7753485,-79.335223,"30 Heron's Hill Way, Toronto",540.0,2050.0,1.0,3.7962962962962963,843,15083,4325,1797,10959,4535,4308
M2J,1,43.7723652,-79.3445747,"70 Forest Manor Road, Toronto",657.0,2000.0,1.0,3.0441400304414,383,14584,1771,1202,10143,4806,4985
M2J,1,43.7740401,-79.3291279,"55 Ann O'Reilly Road, Toronto",629.0,2050.0,1.0,3.259141494435612,1345,15077,3941,2000,11314,4781,3797
M2K,1,43.768185,-79.371647,"72 Esther Shiner Boulevard, Toronto",550.0,1835.0,1.0,3.3363636363636364,480,13815,3837,2086,8069,5706,3252
M2K,1,43.7660524,-79.38471014548708,"19 Barberry Place, Toronto",510.0,1900.0,1.0,3.7254901960784315,1533,13546,2952,3047,7093,6388,2221
M2K,1,43.768185,-79.371647,"72 Esther Shiner Boulevard, Toronto",758.0,2250.0,1.0,2.9683377308707124,480,13815,3837,2086,8069,5706,3252
M2K,1,43.765123700000004,-79.38496221611283,"17 Barberry Place, Toronto",550.0,1900.0,1.0,3.4545454545454546,1589,13443,2858,3052,7012,6487,2218
M2K,1,43.7676534,-79.3829449,"27 Rean Drive, Toronto",616.0,1900.0,1.0,3.0844155844155843,1346,13724,3180,2941,7316,6162,2346
M2K,1,43.76673909139377,-79.38588205967798,"7 Kenaston Gardens, Toronto",598.0,1900.0,1.0,3.177257525083612,1600,13624,2959,3152,7070,6371,2119
M2K,1,43.7676534,-79.3829449,"27 Rean Drive, Toronto",680.0,1845.0,1.0,2.713235294117647,1346,13724,3180,2941,7316,6162,2346
M2K,1,43.76685233848115,-79.38281260438808,"18 Rean Drive, Toronto",599.0,1850.0,1.0,3.0884808013355594,1360,13635,3116,2912,7268,6235,2363
M2K,1,43.76778745,-79.38792228026465,"2885 Bayview Avenue, Toronto",650.0,2050.0,1.0,3.1538461538461537,1734,13744,2969,3336,7024,6360,1946
M2K,1,43.7658287,-79.38408208150166,"2 Rean Drive, Toronto",799.0,2450.0,2.0,3.0663329161451816,1495,13521,2963,2993,7117,6384,2275
M2K,1,43.76778745,-79.38792228026465,"2885 Bayview Avenue, Toronto",699.0,2200.0,1.0,3.1473533619456364,1734,13744,2969,3336,7024,6360,1946
M2K,1,43.7660445,-79.3844004,"18 Barberry Place, Toronto",650.0,2190.0,1.0,3.3692307692307693,1510,13545,2966,3022,7112,6376,2246
M2K,1,43.76685233848115,-79.38281260438808,"18 Rean Drive, Toronto",550.0,1825.0,1.0,3.3181818181818183,1360,13635,3116,2912,7268,6235,2363
M2K,1,43.7658287,-79.38408208150166,"2 Rean Drive, Toronto",792.0,2450.0,2.0,3.0934343434343434,1495,13521,2963,2993,7117,6384,2275
M2K,1,43.7660524,-79.38471014548708,"19 Barberry Place, Toronto",500.0,1950.0,1.0,3.9,1533,13546,2952,3047,7093,6388,2221
M2K,1,43.765123700000004,-79.38496221611283,"17 Barberry Place, Toronto",800.0,2000.0,2.0,2.5,1589,13443,2858,3052,7012,6487,2218
M2K,1,43.76519495,-79.38188223126008,"3 Rean Drive, Toronto",640.0,1880.0,1.0,2.9375,1361,13451,3022,2808,7211,6360,2460
M2K,1,43.76778745,-79.38792228026465,"2885 Bayview Avenue, Toronto",699.0,2200.0,1.0,3.1473533619456364,1734,13744,2969,3336,7024,6360,1946
M2K,1,43.7677262,-79.3706232,"121 McMahon Drive, Toronto",688.0,2150.0,1.0,3.125,450,13769,3864,1991,8106,5722,3336
M2K,1,43.765123700000004,-79.38496221611283,"17 Barberry Place, Toronto",600.0,1950.0,1.0,3.25,1589,13443,2858,3052,7012,6487,2218
M2K,1,43.76562272890207,-79.38533654021813,"17 Kenaston Gardens, Toronto",680.0,2050.0,1.0,3.014705882352941,1597,13499,2884,3090,7024,6455,2179
M2K,1,43.76685233848115,-79.38281260438808,"18 Rean Drive, Toronto",545.0,1850.0,1.0,3.3944954128440368,1360,13635,3116,2912,7268,6235,2363
